"","NA_BTC","NA_XRP","NA_LTC","NA_GOLD","NA_SILVER","NA_LIBOR","NA_SnP500","NA_DAX","NA_EURUSD","NA_GBPUSD","NA_USDCHF"
"NA_BTC",1,0.328449465101784,0.613774508589597,0.0602103516888871,0.0264879155320515,-0.0166259247711062,0.0112554296761578,0.00765052603446372,-0.00435606795584342,-0.0248457037809466,-0.00643367870009382
"NA_XRP",0.328449465101784,1,0.352579666432294,-0.00510204212032314,0.0258555278345661,0.0275334639989384,0.0502096055283211,0.037167978308175,0.0332770644208765,0.0206288374750555,-0.0322679411753811
"NA_LTC",0.613774508589597,0.352579666432294,1,0.00970557141180558,0.00857598767776046,-0.00682854381701777,0.0245044416563949,0.00779430455654975,0.015976206264754,-0.00867040037948451,-0.0389927381670818
"NA_GOLD",0.0602103516888871,-0.00510204212032314,0.00970557141180558,1,0.393539003086246,-0.0350249889759115,-0.0810337575574076,-0.154563416786548,0.0290738742939166,-0.00662176534755845,-0.019861108418885
"NA_SILVER",0.0264879155320515,0.0258555278345661,0.00857598767776046,0.393539003086246,1,-0.0455200544866127,0.00806191283790994,-0.0403595895381935,0.0325142242797781,0.0138170261952569,-0.0587175529429643
"NA_LIBOR",-0.0166259247711062,0.0275334639989384,-0.00682854381701777,-0.0350249889759115,-0.0455200544866127,1,-0.03150508492127,0.0386011267257983,-0.0433911270149594,-0.0194048279654916,0.0314632410906264
"NA_SnP500",0.0112554296761578,0.0502096055283211,0.0245044416563949,-0.0810337575574076,0.00806191283790994,-0.03150508492127,1,0.524495293402843,0.00730881249080772,0.0454957082840985,-0.0410847080149296
"NA_DAX",0.00765052603446372,0.037167978308175,0.00779430455654975,-0.154563416786548,-0.0403595895381935,0.0386011267257983,0.524495293402843,1,-0.0188083280660734,0.0706223183023397,0.000558848384992891
"NA_EURUSD",-0.00435606795584342,0.0332770644208765,0.015976206264754,0.0290738742939166,0.0325142242797781,-0.0433911270149594,0.00730881249080772,-0.0188083280660734,1,0.519644950863259,-0.484511811106636
"NA_GBPUSD",-0.0248457037809466,0.0206288374750555,-0.00867040037948451,-0.00662176534755845,0.0138170261952569,-0.0194048279654916,0.0454957082840985,0.0706223183023397,0.519644950863259,1,-0.271117338348849
"NA_USDCHF",-0.00643367870009382,-0.0322679411753811,-0.0389927381670818,-0.019861108418885,-0.0587175529429643,0.0314632410906264,-0.0410847080149296,0.000558848384992891,-0.484511811106636,-0.271117338348849,1
